Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/1902095567,http://id.who.int/icd/release/11/beta/icf/1902095567,b1403,,- - - - - Sharing attention,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1709276036/other,b1408,,- - - - - Other specified attention functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1709276036/unspecified,b1409,,"- - - - - Attention functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1920216617,http://id.who.int/icd/release/11/beta/icf/1920216617,b144,,- - - - Memory functions,category,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/555851728,http://id.who.int/icd/release/11/beta/icf/555851728,b1440,,- - - - - Short-term memory,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/906623760,http://id.who.int/icd/release/11/beta/icf/906623760,b1441,,- - - - - Long-term memory,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/259085904,http://id.who.int/icd/release/11/beta/icf/259085904,b1442,,- - - - - Retrieval and processing of memory,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/408498832,http://id.who.int/icd/release/11/beta/icf/408498832,b1443,,- - - - - Working memory,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1920216617/other,b1448,,- - - - - Other specified memory functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1920216617/unspecified,b1449,,"- - - - - Memory functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1295484620,http://id.who.int/icd/release/11/beta/icf/1295484620,b147,,- - - - Psychomotor functions,category,1,False,True,,browser,iCat,False,2,
http://id.who.int/icd/entity/2034185976,http://id.who.int/icd/release/11/beta/icf/2034185976,b1470,,- - - - - Psychomotor control,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1847022136,http://id.who.int/icd/release/11/beta/icf/1847022136,b1471,,- - - - - Quality of psychomotor functions,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1295484620/other,b1478,,- - - - - Other specified psychomotor functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1295484620/unspecified,b1479,,"- - - - - Psychomotor functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/668868854,http://id.who.int/icd/release/11/beta/icf/668868854,b152,,- - - - Emotional functions,category,1,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/1979804439,http://id.who.int/icd/release/11/beta/icf/1979804439,b1520,,- - - - - Appropriateness of emotion,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1630080983,http://id.who.int/icd/release/11/beta/icf/1630080983,b1521,,- - - - - Regulation of emotion,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1481745047,http://id.who.int/icd/release/11/beta/icf/1481745047,b1522,,- - - - - Range of emotion,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/668868854/other,b1528,,- - - - - Other specified emotional functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/668868854/unspecified,b1529,,"- - - - - Emotional functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/616921299,http://id.who.int/icd/release/11/beta/icf/616921299,b156,,- - - - Perceptual functions,category,1,False,True,,browser,iCat,False,6,
http://id.who.int/icd/entity/520615240,http://id.who.int/icd/release/11/beta/icf/520615240,b1560,,- - - - - Auditory perception,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/137335176,http://id.who.int/icd/release/11/beta/icf/137335176,b1561,,- - - - - Visual perception,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/827800776,http://id.who.int/icd/release/11/beta/icf/827800776,b1562,,- - - - - Olfactory perception,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/645879816,http://id.who.int/icd/release/11/beta/icf/645879816,b1563,,- - - - - Gustatory perception,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1134978632,http://id.who.int/icd/release/11/beta/icf/1134978632,b1564,,- - - - - Tactile perception,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1418592904,http://id.who.int/icd/release/11/beta/icf/1418592904,b1565,,- - - - - Visuospatial perception,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/616921299/other,b1568,,- - - - - Other specified perceptual functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/616921299/unspecified,b1569,,"- - - - - Perceptual functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/237669243,http://id.who.int/icd/release/11/beta/icf/237669243,b160,,- - - - Thought functions,category,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/1567443680,http://id.who.int/icd/release/11/beta/icf/1567443680,b1600,,- - - - - Pace of thought,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1246047776,http://id.who.int/icd/release/11/beta/icf/1246047776,b1601,,- - - - - Form of thought,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1933411168,http://id.who.int/icd/release/11/beta/icf/1933411168,b1602,,- - - - - Content of thought,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1679157152,http://id.who.int/icd/release/11/beta/icf/1679157152,b1603,,- - - - - Control of thought,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/237669243/other,b1608,,- - - - - Other specified thought functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/237669243/unspecified,b1609,,"- - - - - Thought functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1384847483,http://id.who.int/icd/release/11/beta/icf/1384847483,b164,,- - - - Higher-level cognitive functions,category,1,False,True,,browser,iCat,False,7,
http://id.who.int/icd/entity/879482047,http://id.who.int/icd/release/11/beta/icf/879482047,b1640,,- - - - - Abstraction,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/591638655,http://id.who.int/icd/release/11/beta/icf/591638655,b1641,,- - - - - Organization and planning,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/440081727,http://id.who.int/icd/release/11/beta/icf/440081727,b1642,,- - - - - Time management,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/219380223,http://id.who.int/icd/release/11/beta/icf/219380223,b1643,,- - - - - Cognitive flexibility,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1758087103,http://id.who.int/icd/release/11/beta/icf/1758087103,b1644,,- - - - - Insight,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2145526655,http://id.who.int/icd/release/11/beta/icf/2145526655,b1645,,- - - - - Judgement,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1184534079,http://id.who.int/icd/release/11/beta/icf/1184534079,b1646,,- - - - - Problem Solving,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1384847483/other,b1648,,- - - - - Other specified higher-level cognitive functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1384847483/unspecified,b1649,,"- - - - - Higher-level cognitive functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1811133755,http://id.who.int/icd/release/11/beta/icf/1811133755,b167,,- - - - Mental functions of language,category,1,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/1819639191,http://id.who.int/icd/release/11/beta/icf/1819639191,b1670,,- - - - - Reception of language,category,2,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/75971722,http://id.who.int/icd/release/11/beta/icf/75971722,b16700,,- - - - - - Reception of spoken language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/330258506,http://id.who.int/icd/release/11/beta/icf/330258506,b16701,,- - - - - - Reception of written language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/718796042,http://id.who.int/icd/release/11/beta/icf/718796042,b16702,,- - - - - - Reception of sign language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1040159178,http://id.who.int/icd/release/11/beta/icf/1040159178,b16703,,- - - - - - Reception of body language,category,3,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1819639191/other,b16708,,- - - - - - Other specified reception of language,category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1819639191/unspecified,b16709,,"- - - - - - Reception of language, unspecified",category,3,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2069698903,http://id.who.int/icd/release/11/beta/icf/2069698903,b1671,,- - - - - Expression of language,category,2,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/2052957777,http://id.who.int/icd/release/11/beta/icf/2052957777,b16710,,- - - - - - Expression of spoken language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1836434065,http://id.who.int/icd/release/11/beta/icf/1836434065,b16711,,- - - - - - Expression of written language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1410166737,http://id.who.int/icd/release/11/beta/icf/1410166737,b16712,,- - - - - - Expression of sign language,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1126501137,http://id.who.int/icd/release/11/beta/icf/1126501137,b16713,,- - - - - - Expression of body language,category,3,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2069698903/other,b16718,,- - - - - - Other specified expression of language,category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2069698903/unspecified,b16719,,"- - - - - - Expression of language, unspecified",category,3,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1109767191,http://id.who.int/icd/release/11/beta/icf/1109767191,b1672,,- - - - - Integrative language functions,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1811133755/other,b1678,,- - - - - Other specified mental functions of language,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1811133755/unspecified,b1679,,"- - - - - Mental functions of language, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1587599396,http://id.who.int/icd/release/11/beta/icf/1587599396,b172,,- - - - Calculation functions,category,1,False,True,,browser,iCat,False,2,
http://id.who.int/icd/entity/1665867896,http://id.who.int/icd/release/11/beta/icf/1665867896,b1720,,- - - - - Simple calculation,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1952662712,http://id.who.int/icd/release/11/beta/icf/1952662712,b1721,,- - - - - Complex calculation,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1587599396/other,b1728,,- - - - - Other specified calculation functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1587599396/unspecified,b1729,,"- - - - - Calculation functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/33639204,http://id.who.int/icd/release/11/beta/icf/33639204,b176,,- - - - Mental function of sequencing complex movements,category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1813702037,http://id.who.int/icd/release/11/beta/icf/1813702037,b180,,- - - - Experience of self and time functions,category,1,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/932887277,http://id.who.int/icd/release/11/beta/icf/932887277,b1800,,- - - - - Experience of self,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/548593197,http://id.who.int/icd/release/11/beta/icf/548593197,b1801,,- - - - - Body image,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/432698221,http://id.who.int/icd/release/11/beta/icf/432698221,b1802,,- - - - - Experience of time,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1813702037/other,b1808,,- - - - - Other specified experience of self and time functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1813702037/unspecified,b1809,,"- - - - - Experience of self and time functions, unspecified",category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/134464731/unspecified,b189,,"- - - - Specific mental functions, other specified and unspecified",category,1,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1363559646/other,b198,,- - - Other specified mental functions,category,1,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1363559646/unspecified,b199,,"- - - Mental functions, unspecified",category,1,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1916167881,http://id.who.int/icd/release/11/beta/icf/1916167881,,BlockL2-b21,- - Sensory functions and pain,block,2,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/890173921,http://id.who.int/icd/release/11/beta/icf/890173921,,BlockL3-b21,- - - Seeing and related functions,block,3,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/848997900,http://id.who.int/icd/release/11/beta/icf/848997900,b210,,- - - - Seeing functions,category,1,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/2022689055,http://id.who.int/icd/release/11/beta/icf/2022689055,b2100,,- - - - - Visual acuity functions,category,2,False,True,,browser,iCat,False,4,
